regular_price_sar,warranty_code,product_type,color,width_cm,height_cm,depth_cm,weight_kg,special_features,product_url,warranty_period_months,accesorises_warranty,warranted_by,sale_price_sar,discount_percent
149,JB-REPY1,Backpack with Accessory,Grey,31.00 cm ( 12.20 in ),47.00 cm ( 1.54 ft ),14.00 cm ( 5.51 in ),6.27,"Metal Gold Zipper, PU Puller, Pencil Case",https://www.jarir.com/sa-en/atrium-classic-cases-and-bags-598993.html,12,Accessories included 24 Months,JARIR,69.0,53%
169,JB-REPY1,Backpack with Accessory,Purple,36.00 cm ( 14.17 in ),44.00 cm ( 17.32 in ),15.00 cm ( 5.91 in ),5.94,Pencil Case Bundle,https://www.jarir.com/sa-en/adidas-classic-cases-and-bags-627552.html,12,Accessories included 24 Months,JARIR,,
119,JB-REPY1,Backpack,Black,30.00 cm ( 11.81 in ),44.00 cm ( 17.32 in ),14.00 cm ( 5.51 in ),6.0,,https://www.jarir.com/sa-en/puma-phase-cases-and-bags-598429.html,12,Accessories included 24 Months,JARIR,,
149,JB-REPY1,Backpack with Accessory,Brown,31.00 cm ( 12.20 in ),47.00 cm ( 1.54 ft ),14.00 cm ( 5.51 in ),5.96,"Metal Silver Zipper, PU Puller, Pencil Case",https://www.jarir.com/sa-en/atrium-classic-cases-and-bags-628471.html,12,Accessories included 24 Months,JARIR,69.0,53%
69,JB-REPY1,Trolley Bag with Accessory,Pink,,16.00 in ( 40.64 cm ),,1.49,Compact and Lightweight,https://www.jarir.com/sa-en/disney-frozen-cases-and-bags-601110.html,12,Accessories included 24 Months,JARIR,,
149,JB-REPY1,Backpack with Accessory,Green,31.00 cm ( 12.20 in ),47.00 cm ( 1.54 ft ),14.00 cm ( 5.51 in ),5.09,"Metal Silver Zipper, PU Puller, Pencil Case",https://www.jarir.com/sa-en/atrium-classic-cases-and-bags-627767.html,12,Accessories included 24 Months,JARIR,69.0,53%
169,JB-REPY1,Backpack with Accessory,Brown,36.00 cm ( 14.17 in ),44.00 cm ( 17.32 in ),15.00 cm ( 5.91 in ),5.94,Pencil Case Bundle,https://www.jarir.com/sa-en/adidas-classic-cases-and-bags-627551.html,12,Accessories included 24 Months,JARIR,,
149,JB-REPY1,Trolley Bag with Accessory,Black,33.00 cm ( 12.99 in ),18.00 in ( 45.72 cm ),20.00 cm ( 7.87 in ),7.59,"Built-in Organizer, with Pencil Case",https://www.jarir.com/sa-en/roco-cases-and-bags-599630.html,12,Accessories included 24 Months,JARIR,99.0,33%
99,JB-REPY1,Trolley Bag with Accessory,Black,,16.00 in ( 40.64 cm ),,6.31,Compact and Lightweight,https://www.jarir.com/sa-en/universal-studios-trolls-2-world-tour-cases-and-bags-540831.html,12,Accessories included 24 Months,JARIR,79.0,20%
69,JB-REPY1,Kinder Trolley Bag with Accessory,Red,,16.00 in ( 40.64 cm ),,6.14,Compact and Lightweight,https://www.jarir.com/sa-en/disney-cocomelon-cases-and-bags-578893.html,12,Accessories included 24 Months,JARIR,,
69,JB-REPY1,Trolley Bag with Accessory,Red,,16.00 in ( 40.64 cm ),,6.21,Compact and Lightweight,https://www.jarir.com/sa-en/disney-cars-cases-and-bags-578303.html,12,Accessories included 24 Months,JARIR,,
119,JB-REPY1,Backpack,Orange,30.00 cm ( 11.81 in ),44.00 cm ( 17.32 in ),14.00 cm ( 5.51 in ),4.05,,https://www.jarir.com/sa-en/puma-phase-cases-and-bags-598410.html,12,Accessories included 24 Months,JARIR,,
169,JB-REPY1,Backpack with Accessory,Blue,,14.00 in ( 35.56 cm ),,1.24,Compact and Lightweight,https://www.jarir.com/sa-en/atrium-cases-and-bags-600916.html,12,Accessories included 24 Months,JARIR,,
139,JB-REPY1,Kinder Backpack,Pink,,14.00 in ( 35.56 cm ),,1.37,Lightweight and Comfortable,https://www.jarir.com/sa-en/non-branded-lol-surprise-cases-and-bags-536843.html,12,Accessories included 24 Months,JARIR,,
169,JB-REPY1,Backpack with Accessory,Pink,,14.00 in ( 35.56 cm ),,3.72,Compact and Lightweight,https://www.jarir.com/sa-en/atrium-cases-and-bags-600911.html,12,Accessories included 24 Months,JARIR,,
69,JB-REPY1,Kinder Trolley Bag with Accessory,Blue,,16.00 in ( 40.64 cm ),,6.21,Compact and Lightweight,https://www.jarir.com/sa-en/disney-cocomelon-cases-and-bags-578309.html,12,Accessories included 24 Months,JARIR,,
69,JB-REPY1,Trolley Bag with Accessory,Black,,16.00 in ( 40.64 cm ),,6.14,Compact and Lightweight,https://www.jarir.com/sa-en/warner-bros-superman-cases-and-bags-578300.html,12,Accessories included 24 Months,JARIR,,
69,JB-REPY1,Trolley Bag with Accessory,Red,,16.00 in ( 40.64 cm ),,1.4,Compact and Lightweight,https://www.jarir.com/sa-en/zag-heroez-miraculous-cases-and-bags-578283.html,12,Accessories included 24 Months,JARIR,,
169,JB-REPY1,Backpack with Accessory,Black,,14.00 in ( 35.56 cm ),,3.72,Compact and Lightweight,https://www.jarir.com/sa-en/atrium-cases-and-bags-600915.html,12,Accessories included 24 Months,JARIR,,
69,JB-REPY1,Kinder Trolley Bag with Accessory,Red,,16.00 in ( 40.64 cm ),,6.14,Compact and Lightweight,https://www.jarir.com/sa-en/marvel-spider-man-cases-and-bags-578898.html,12,Accessories included 24 Months,JARIR,,
179,JB-REPY1,Backpack with Accessory,Black,,16.00 in ( 40.64 cm ),,6.94,Compact and Lightweight,https://www.jarir.com/sa-en/atrium-cases-and-bags-600931.html,12,Accessories included 24 Months,JARIR,,
179,JB-REPY1,Backpack with Accessory,Blue,,16.00 in ( 40.64 cm ),,6.94,Compact and Lightweight,https://www.jarir.com/sa-en/atrium-cases-and-bags-600921.html,12,Accessories included 24 Months,JARIR,,
179,JB-REPY1,Backpack with Accessory,Orange,,16.00 in ( 40.64 cm ),,6.94,Compact and Lightweight,https://www.jarir.com/sa-en/atrium-cases-and-bags-600919.html,12,Accessories included 24 Months,JARIR,,
179,JB-REPY1,Backpack with Accessory,Pink,,16.00 in ( 40.64 cm ),,6.94,Compact and Lightweight,https://www.jarir.com/sa-en/atrium-cases-and-bags-600930.html,12,Accessories included 24 Months,JARIR,,
179,JB-REPY1,Backpack with Accessory,Pink,,16.00 in ( 40.64 cm ),,6.94,Compact and Lightweight,https://www.jarir.com/sa-en/atrium-cases-and-bags-600934.html,12,Accessories included 24 Months,JARIR,,
179,JB-REPY1,Backpack with Accessory,Pink,,16.00 in ( 40.64 cm ),,7.16,Compact and Lightweight,https://www.jarir.com/sa-en/atrium-cases-and-bags-600935.html,12,Accessories included 24 Months,JARIR,,
179,JB-REPY1,Backpack with Accessory,Green,,16.00 in ( 40.64 cm ),,6.94,Compact and Lightweight,https://www.jarir.com/sa-en/atrium-cases-and-bags-600938.html,12,Accessories included 24 Months,JARIR,,
