regular_price_sar,sale_price_sar,discount_percent,warranty_code,product_type,color,width_cm,height_cm,depth_cm,weight_kg,special_features,product_url,warranty_period_months,accesorises_warranty,warranted_by,connectivity,storage
549,379.0,30%,JB-REPY1,Travel Bag,Black,37.50 cm ( 14.76 in ),62.00 cm ( 2.03 ft ),26.00 cm ( 10.24 in ),15.11,All Direction Wheels,https://www.jarir.com/sa-en/jb-cases-and-bags-527233.html,12,Accessories included 24 Months,JARIR,,
319,249.0,21%,,Bookstand with LED Light,White,25.00 cm ( 9.84 in ),43.00 cm ( 16.93 in ),20.00 cm ( 7.87 in ),2.88,,https://www.jarir.com/sa-en/non-branded-bookstand-619552.html,,,,,
169,99.0,41%,,Desk Organizer,Grey,40.00 cm ( 15.75 in ),5.00 cm ( 1.97 in ),21.00 cm ( 8.27 in ),1.28,,https://www.jarir.com/sa-en/royal-falcon-desk-accessory-641022.html,,,,,
199,129.0,35%,JB-REPY2,Smart Lighting,White,,,,0.38,"Dynamic Lighting, Desktop Control, PC Screen/Game Sync, Music Sync",https://www.jarir.com/sa-en/yeelight-smart-lighting-599777.html,24,12 Months,JARIR,Wi-Fi/Bluetooth,
129,59.0,54%,,Water Bottle,Blue,,,,0.48,"Autoseal Lid Technology, Easy Grip, Transparent Bottle",https://www.jarir.com/sa-en/camelbak-mugs-bottles-593411.html,,,,,
125,59.0,52%,,Water Bottle,Blue,,,,0.44,"Autoseal Lid Technology, Easy Grip, Transparent Bottle",https://www.jarir.com/sa-en/camelbak-mugs-bottles-593413.html,,,,,
125,59.0,52%,,Water Bottle,Green,,,,0.44,"Autoseal Lid Technology, Easy Grip, Transparent Bottle",https://www.jarir.com/sa-en/camelbak-mugs-bottles-593425.html,,,,,
119,59.0,50%,,Water Bottle,Grey,,,,0.4,"Autoseal Lid Technology, Easy Grip, Transparent Bottle, Magnetic Quick-stow Cap",https://www.jarir.com/sa-en/camelbak-mugs-bottles-593474.html,,,,,
125,59.0,52%,,Water Bottle,Blue,,,,0.44,"Autoseal Lid Technology, Easy Grip, Transparent Bottle",https://www.jarir.com/sa-en/camelbak-mugs-bottles-593420.html,,,,,
135,70.0,48%,JB-REPY1,Key Cabinet,Brown,280.00 mm ( 11.02 in ),370.00 mm ( 14.57 in ),55.00 mm ( 2.17 in ),2.1,,https://www.jarir.com/sa-en/non-branded-key-cabinets-264839.html,12,Accessories included 24 Months,JARIR,,60 Keys
159,99.0,37%,JB-REPY2,Smart Lighting,White,16.10 cm ( 6.34 in ),41.70 cm ( 16.42 in ),418.00 mm ( 16.46 in ),2.66,"Enhanced Brightness, 5 Level Dimming",https://www.jarir.com/sa-en/yeelight-office-lamp-581314.html,24,12 Months,JARIR,Wi-Fi/Bluetooth,
