product_type,brand,model,sku,discount_percent,regular_price_sar,sale_price_sar,color,image_url,os,ram,screen_refresh_rate_hz,screen_size_inch,screen_type,special_features,storage,weight_kg,product_url,ai_enabled,cpu_clock,sim_slots,price,renewed
Tablet - Wi-Fi (with Folio Case Cover & Stylus),Honor,Pad V9,652876,27%,1799,1299.0,White,https://ak-asset.jarir.com/akeneo-prod/asset/a/8/f/8/a8f8c2dec99ec317abd51a590df1c8e524a3182a_652876.jpg,MagicOS 9.0,12 GB RAM,2.8K LCD Display,"11.5""",2800 X 1840 Pixels,,256 GB,475.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/honor-pad-x9-tablet-pc-652876.html,,3.35 GHz + 3.2 GHz + 2.2 GHz,,1299.0,new
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad 12 X,644206,17%,2299,1899.0,White,https://ak-asset.jarir.com/akeneo-prod/asset/7/3/1/7/7317e3e3379fd40c1362deecbaf9db74d4c286ee_644206.jpg,HarmonyOS 4.2,8 GB RAM,LCD Touchscreen,"12""",2800 X 1840 Pixels,"HUAWEI Notes, GoPaint, 65W Fast Charging",256 GB,555.00 g ( 1.22 lb ),https://www.jarir.com/sa-en/huawei-tablet-pc-644206.html,,,,1899.0,new
Wi-Fi Tablet PC,Xiaomi,Redmi Pad Pro,636070,28%,1399,999.0,Ocean Blue,https://ak-asset.jarir.com/akeneo-prod/asset/b/4/5/a/b45a98856678b9e61bea8e42aa88ce78731c8cb5_636070.jpg,Android HyperOS,8 GB RAM,FHD+ IPS LCD 120 Hz Display,"12.1""",2560 X 1600 Pixels,Triple TUV Rheinland Eye Protection,256 GB,570.00 g ( 1.26 lb ),https://www.jarir.com/sa-en/xiaomi-tablet-pc-636070.html,,2.4 GHz,,999.0,new
Tablet - Wi-Fi (with Keyboard),Honor,Pad 10,659565,7%,1299,1199.0,Grey,https://ak-asset.jarir.com/akeneo-prod/asset/0/5/e/7/05e71b8d26f93670a35196798cc2e824fcf4f3ea_659565.jpg,Android 15,8 GB RAM,IPS-LCD Touchscreen,"12.1""",2560 X 1600 Pixels,,256 GB,525.00 g ( 1.16 lb ),https://www.jarir.com/sa-en/honor-pad-10-tablet-pc-659565.html,,1X 2.63Gz (Cortex-A715) + 3X 2.4Gz (Cortex-A715) + 4X 1.8Gz (Cortex-A510),,1199.0,new
Wi-Fi Tablet PC,Samsung,Galaxy Tab A9,633418,41%,849,499.0,Navy,https://ak-asset.jarir.com/akeneo-prod/asset/8/4/2/f/842fe8acf3fcd59400efbaf4e337d7325a27d566_633418.jpg,Android OS,8 GB RAM,FHD-LCD Touchscreen,"8.7""",1340 X 800 Pixels,"Dolby Atmos, Quick Share",128 GB,333.00 g ( 11.75 oz ),https://www.jarir.com/sa-en/samsung-tablet-pc-633418.html,,2.2 + 2.0 GHz,,499.0,new
Wi-Fi Tablet PC,Samsung,Galaxy Tab A9+,633414,35%,999,649.0,Graphite,https://ak-asset.jarir.com/akeneo-prod/asset/2/3/9/3/2393413385575fe14aac3acc43c4689c39f54635_633414.jpg,Android OS,8 GB RAM,TFT-LCD Touchscreen,"11""",1920 X 1200 Pixels,"Accelerometer, Compass, Gyro",128 GB,491.00 g ( 1.08 lb ),https://www.jarir.com/sa-en/samsung-tablet-pc-633414.html,,,,649.0,new
Wi-Fi Tablet PC,Samsung,Galaxy Tab A9,633417,41%,849,499.0,Graphite,https://ak-asset.jarir.com/akeneo-prod/asset/9/a/4/8/9a48ae454254c91b4a49ac5edcc59f5443dfa186_633417.jpg,Android OS,8 GB RAM,FHD-LCD Touchscreen,"8.7""",1340 X 800 Pixels,"Dolby Atmos, Quick Share",128 GB,333.00 g ( 11.75 oz ),https://www.jarir.com/sa-en/samsung-tablet-pc-633417.html,,2.2 + 2.0 GHz,,499.0,new
Tablet - Wi-Fi (with Active Pen),Lenovo,Idea Tab Pro,648251,23%,1499,1149.0,Luna Grey,https://ak-asset.jarir.com/akeneo-prod/asset/1/e/f/a/1efa250710a1532693eeda3ecd19e7e810e4afeb_648251.jpg,Android 14,8 GB RAM,3K 144 Hz LCD Display,"12.7""",2944 X 1840 Pixels,,256 GB,620.00 g ( 1.37 lb ),https://www.jarir.com/sa-en/lenovo-idea-tab-pro-tablet-pc-648251.html,,3.35 GHz + 3.2 GHz + 2.2 GHz,,1149.0,new
Wi-Fi Tablet PC,Samsung,Galaxy Tab A9+,633415,35%,999,649.0,Navy,https://ak-asset.jarir.com/akeneo-prod/asset/8/0/2/a/802a99a282020ee259fbdde83f351e035a9cb162_633415.jpg,Android OS,8 GB RAM,TFT-LCD Touchscreen,"11""",1920 X 1200 Pixels,"Accelerometer, Compass, Gyro",128 GB,491.00 g ( 1.08 lb ),https://www.jarir.com/sa-en/samsung-tablet-pc-633415.html,,,,649.0,new
Wi-Fi Tablet PC,Huawei,MatePad SE 11,655734,41%,849,499.0,Nebula Grey,https://ak-asset.jarir.com/akeneo-prod/asset/2/d/6/9/2d69472c264479bae60d06c244055a70e0a7d34b_655734.jpg,HarmonyOS 2,6 GB RAM,IPS FHD-LCD Touchscreen,"11""",1920 X 1200 Pixels,22.5W Fast Charging,128 GB,475.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/huawei-matepad-se-11-tablet-pc-655734.html,,,,499.0,new
Wi-Fi Tablet PC,Samsung,Galaxy Tab A9+,661473,35%,999,649.0,Silver,https://ak-asset.jarir.com/akeneo-prod/asset/3/0/3/7/3037084bf3cf1b13c195c31e507581b51a9f0581_661473.jpg,Android OS,8 GB RAM,TFT-LCD Touchscreen,"11""",1920 X 1200 Pixels,"Accelerometer, Compass, Gyro",128 GB,491.00 g ( 1.08 lb ),https://www.jarir.com/sa-en/samsung-galaxy-tab-a9-tablet-pc-661473.html,,,,649.0,new
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad 11.5,649531,21%,1399,1099.0,Space Grey,https://ak-asset.jarir.com/akeneo-prod/asset/e/0/b/f/e0bfa3127cd44dcc829d4615fdabd7dcfd503f69_649531.jpg,HarmonyOS 4.2,6 GB RAM,2.2K 120 Hz IPS-LCD Touchscreen,"11.5""",2200 X 1440 Pixels,Huawei App Gallery,128 GB,499.00 g ( 1.10 lb ),https://www.jarir.com/sa-en/huawei-matepad-11-5-tablet-pc-649531.html,,,,1099.0,new
Tablet - Wi-Fi (with Kids Cover & Stylus),Honor,Pad X8a Kids Edition,644234,35%,849,549.0,Space Grey,https://ak-asset.jarir.com/akeneo-prod/asset/f/d/6/3/fd6378bcca0b6e7b0d80eb89173c67b4e9ff0564_644234.jpg,Android 14,4 GB RAM,IPS-LCD Touchscreen,"11""",1920 X 1200 Pixels,"Parental Guidance, Kids Protective Case",128 GB,.50 kg ( 1.10 lb ),https://www.jarir.com/sa-en/honor-pad-x8a-kids-tablet-pc-644234.html,,4X 2.4 (Cortex A73) + 4X 1.9 (Cortex A53) GHz,,549.0,new
Tablet - 4G (with Case Cover),Honor,Pad X8a,644349,33%,899,599.0,Space Grey,https://ak-asset.jarir.com/akeneo-prod/asset/8/f/9/6/8f96d82d23419786b625db87680e33abee681311_644349.jpg,Android 14,4 GB RAM,IPS-LCD Touchscreen,"11""",1920 X 1200 Pixels,MagicOS 8.0,128 GB,.50 kg ( 1.10 lb ),https://www.jarir.com/sa-en/honor-pad-x8a-tablet-pc-644349.html,,4X 2.4 (Cortex A73) + 4X 1.9 (Cortex A53) GHz,1 SIM,599.0,new
Tablet - Wi-Fi (with Samsung S Pen),Samsung,Galaxy Tab S10 FE,656188,15%,1999,1699.0,Blue,https://ak-asset.jarir.com/akeneo-prod/asset/2/3/b/f/23bf8d094d27a7c84568dde715903aa0d3717223_656188.jpg,Android 15,8 GB RAM,TFT-LCD Touchscreen,"10.9""",2304 X 1440 Pixels,"90 Hz Display, S Pen",128 GB,520.00 g ( 1.15 lb ),https://www.jarir.com/sa-en/samsung-galaxy-tab-s10-fe-tablet-pc-656188.html,,2.9 GHz + 2.6 GHz + 1.95 GHz,,1699.0,new
Tablet - Wi-Fi (with Samsung S Pen),Samsung,Galaxy Tab S10 FE,656224,13%,2299,1999.0,Grey,https://ak-asset.jarir.com/akeneo-prod/asset/f/d/a/e/fdae91f3e749b7e1af4732ad16aef4789ab80700_656224.jpg,Android 15,12 GB RAM,TFT-LCD Touchscreen,"10.9""",2304 X 1440 Pixels,"90 Hz Display, S Pen",256 GB,520.00 g ( 1.15 lb ),https://www.jarir.com/sa-en/samsung-galaxy-tab-s10-fe-tablet-pc-656224.html,,2.9 GHz + 2.6 GHz + 1.95 GHz,,1999.0,new
Tablet - Wi-Fi (with Clear Case Cover),Lenovo,Tab Plus,636984,25%,1199,899.0,Luna Grey,https://ak-asset.jarir.com/akeneo-prod/asset/a/8/e/1/a8e11a83905fb9e1aa29665df29a6503ccb2ff49_636984.jpg,Android 14,8 GB RAM,2K IPS AG 400N 90 Hz,"11.5""",2000 X 1200 Pixels,Low Blue Light,256 GB eMMC 5.1,650.00 g ( 1.43 lb ),https://www.jarir.com/sa-en/lenovo-tab-plus-tablet-pc-636984.html,AI Enabled,2.2 GHz,,899.0,new
Tablet - Wi-Fi (with Samsung S Pen),Samsung,Galaxy Tab S10 FE,656222,15%,1999,1699.0,Grey,https://ak-asset.jarir.com/akeneo-prod/asset/9/d/2/2/9d22ac418ca342835fd202c2bb90571c6fe354f9_656222.jpg,Android 15,8 GB RAM,TFT-LCD Touchscreen,"10.9""",2304 X 1440 Pixels,"90 Hz Display, S Pen",128 GB,520.00 g ( 1.15 lb ),https://www.jarir.com/sa-en/samsung-galaxy-tab-s10-fe-tablet-pc-656222.html,,2.9 GHz + 2.6 GHz + 1.95 GHz,,1699.0,new
Tablet - Wi-Fi (with Samsung S Pen),Samsung,Galaxy Tab S10 FE+,656238,12%,2499,2199.0,Grey,https://ak-asset.jarir.com/akeneo-prod/asset/f/1/9/f/f19f8194cfba95f46757cff79bd265c098501509_656238.jpg,Android 15,8 GB RAM,TFT-LCD Touchscreen,"13.1""",2880 X 1800 Pixels,"90 Hz Display, S Pen",128 GB,674.00 g ( 1.49 lb ),https://www.jarir.com/sa-en/samsung-galaxy-tab-s10-fe-tablet-pc-656238.html,,2.9 GHz + 2.6 GHz + 1.95 GHz,,2199.0,new
Tablet - Wi-Fi (with Samsung S Pen),Samsung,Galaxy Tab S10 FE+,656240,10%,2899,2599.0,Grey,https://ak-asset.jarir.com/akeneo-prod/asset/c/5/5/f/c55facc80ac0f91724d8aec9dfb9801562081432_656240.jpg,Android 15,12 GB RAM,TFT-LCD Touchscreen,"13.1""",2880 X 1800 Pixels,"90 Hz Display, S Pen",256 GB,674.00 g ( 1.49 lb ),https://www.jarir.com/sa-en/samsung-galaxy-tab-s10-fe-tablet-pc-656240.html,,2.9 GHz + 2.6 GHz + 1.95 GHz,,2599.0,new
Tablet - Wi-Fi (with Samsung S Pen),Samsung,Galaxy Tab S10 FE+,656225,12%,2499,2199.0,Blue,https://ak-asset.jarir.com/akeneo-prod/asset/d/3/5/3/d353a91cb6266f2ad8e33918b5b2cda057815c3f_656225.jpg,Android 15,8 GB RAM,TFT-LCD Touchscreen,"13.1""",2880 X 1800 Pixels,"90 Hz Display, S Pen",128 GB,674.00 g ( 1.49 lb ),https://www.jarir.com/sa-en/samsung-galaxy-tab-s10-fe-tablet-pc-656225.html,,2.9 GHz + 2.6 GHz + 1.95 GHz,,2199.0,new
Tablet - 4G,Samsung,Galaxy Tab A9,626615,37%,749,469.0,Navy,https://ak-asset.jarir.com/akeneo-prod/asset/9/e/c/8/9ec8d8554e8f973b98d677dceed34f50e5356de4_626615.jpg,Android OS,4 GB RAM,FHD-LCD Touchscreen,"8.7""",1340 X 800 Pixels,"Dolby Atmos, Quick Share",64 GB,333.00 g ( 11.75 oz ),https://www.jarir.com/sa-en/samsung-tablet-pc-626615.html,,2.2 + 2.0 GHz,1 SIM,469.0,new
Tablet - 4G,Samsung,Galaxy Tab A9,626626,37%,749,469.0,Graphite,https://ak-asset.jarir.com/akeneo-prod/asset/f/2/9/e/f29ed93bb9edb2e6bc67ba8dd2668a9297cbd813_626626.jpg,Android OS,4 GB RAM,FHD-LCD Touchscreen,"8.7""",1340 X 800 Pixels,"Dolby Atmos, Quick Share",64 GB,333.00 g ( 11.75 oz ),https://www.jarir.com/sa-en/samsung-tablet-pc-626626.html,,2.2 + 2.0 GHz,1 SIM,469.0,new
Tablet - Wi-Fi (with Active Pen),Huawei,MatePad SE 11,635868,25%,999,749.0,Crystal Blue,https://ak-asset.jarir.com/akeneo-prod/asset/7/e/0/1/7e0121536702cb30f3bf7a798cb63c382dbe4776_635868.jpg,HarmonyOS 2,8 GB RAM,IPS FHD-LCD Touchscreen,"11""",1920 X 1200 Pixels,22.5W Fast Charging,128 GB,475.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/huawei-tablet-pc-635868.html,,,,749.0,new
Tablet - Wi-Fi (with Active Pen),Huawei,MatePad SE 11,659582,25%,999,749.0,Nebula Grey,https://ak-asset.jarir.com/akeneo-prod/asset/4/4/4/7/44470a646c6e25b585313d8a3a1df6b9e23dd53e_659582.jpg,HarmonyOS 2,8 GB RAM,IPS FHD-LCD Touchscreen,"11""",1920 X 1200 Pixels,22.5W Fast Charging,128 GB,475.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/huawei-matepad-se-11-tablet-pc-659582.html,,,,749.0,new
Tablet - Wi-Fi (with Kids Cover & Stylus),Huawei,MatePad SE Kids Edition,635869,29%,849,599.0,Nebula Grey,https://ak-asset.jarir.com/akeneo-prod/asset/e/2/0/b/e20b03a86e3fde204777bc53addf00431e2d15ba_635869.jpg,HarmonyOS 2,4 GB RAM,IPS FHD-LCD Touchscreen,"11""",1920 X 1200 Pixels,"Parental Assistant, Five Layered Eye Protection, eBook Mode, Kids Corner",128 GB,475.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/huawei-tablet-pc-635869.html,,,,599.0,new
Tablet - Wi-Fi (with Kids Cover & Stylus),Huawei,MatePad SE Kids Edition,656806,29%,849,599.0,Nebula Grey,https://ak-asset.jarir.com/akeneo-prod/asset/1/7/5/f/175f1a581285e15cfef5238f9dfd716b1b5399ae_656806.jpg,HarmonyOS 2,4 GB RAM,IPS FHD-LCD Touchscreen,"11""",1920 X 1200 Pixels,"Parental Assistant, Five Layered Eye Protection, eBook Mode, Kids Corner",128 GB,475.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/huawei-matepad-se-kids-edition-tablet-pc-656806.html,,,,599.0,new
Tablet - Wi-Fi (with Active Pen),Huawei,MatePad SE 11,659581,25%,999,749.0,Crystal Blue,https://ak-asset.jarir.com/akeneo-prod/asset/2/a/d/c/2adce86f42992eb067b2819767abba8511482895_659581.jpg,HarmonyOS 2,8 GB RAM,IPS FHD-LCD Touchscreen,"11""",1920 X 1200 Pixels,22.5W Fast Charging,128 GB,475.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/huawei-matepad-se-11-tablet-pc-659581.html,,,,749.0,new
Tablet - 5G,Xiaomi,Redmi Pad Pro,640252,16%,1499,1249.0,Grey,https://ak-asset.jarir.com/akeneo-prod/asset/f/e/0/3/fe03a63eeeb7faf35fb0e5a0fe651991ef3b7e7e_640252.jpg,Android HyperOS,8 GB RAM,FHD+ IPS LCD 120 Hz Display,"12.1""",2560 X 1600 Pixels,Triple TUV Rheinland Eye Protection,256 GB,570.00 g ( 1.26 lb ),https://www.jarir.com/sa-en/xiaomi-redmi-pad-pro-tablet-pc-640252.html,,2.4 GHz,Dual SIM,1249.0,new
Tablet - 4G,Xiaomi,Redmi Pad SE 8.7,640281,26%,649,479.0,Graphite Grey,https://ak-asset.jarir.com/akeneo-prod/asset/c/d/1/0/cd1079c4f8d81410078412dfa1c36c6f89c75c44_640281.jpg,Android HyperOS,6 GB RAM,IPS-LCD Touchscreen,"8.7""",1340 X 800 Pixels,Triple TUV Rheinland Eye Protection,128 GB,373.00 g ( 13.17 oz ),https://www.jarir.com/sa-en/xiaomi-redmi-pad-se-tablet-pc-640281.html,,2.0 GHz,Dual SIM,479.0,new
Tablet - 4G (with Case Cover),Lenovo,Tab (TB311XU),648273,21%,699,549.0,Luna Grey,https://ak-asset.jarir.com/akeneo-prod/asset/4/0/7/5/4075f3cfcc25f1a14e9852c4f8bee8e8676f8f9f_648273.jpg,Android 14,4 GB RAM,FHD-LCD Touchscreen,"10.1""",1920 X 1200 Pixels,"Dolby Atmos, 60 Hz Display",128 GB,465.00 g ( 1.03 lb ),https://www.jarir.com/sa-en/lenovo-lenovo-tab-tablet-pc-648273.html,,2.0 + 1.8 GHz,1 SIM,549.0,new
Tablet - Wi-Fi (with Keyboard + Pen),Lenovo,Yoga Tab Plus,652310,7%,2699,2499.0,Tidal Teal,https://ak-asset.jarir.com/akeneo-prod/asset/6/1/1/8/61187706f9968fe31ea218d1711a7f8c8054aa53_652310.jpg,Android 14,16 GB RAM,3K Multi-Touch,"12.7""",2944 X 1840 Pixels,Dust and Water Resistant (IP53),256 GB,640.00 g ( 1.41 lb ),https://www.jarir.com/sa-en/lenovo-yoga-tab-plus-tablet-pc-652310.html,,3.3 GHz + 2.95 GHz + 3.14 GHz + 2.26 GHz,,2499.0,new
Tablet - 4G,Xiaomi,Redmi Pad SE 8.7,640284,26%,649,479.0,Sky Blue,https://ak-asset.jarir.com/akeneo-prod/asset/2/f/5/c/2f5cc91de7a7edb60515f1d9aea24342263045eb_640284.jpg,Android HyperOS,6 GB RAM,IPS-LCD Touchscreen,"8.7""",1340 X 800 Pixels,Triple TUV Rheinland Eye Protection,128 GB,373.00 g ( 13.17 oz ),https://www.jarir.com/sa-en/xiaomi-redmi-pad-se-tablet-pc-640284.html,,2.0 GHz,Dual SIM,479.0,new
Tablet - 4G,Xiaomi,Redmi Pad 2,659591,15%,899,759.0,Grey,https://ak-asset.jarir.com/akeneo-prod/asset/4/7/a/f/47afa1a7dd2c97d52afcc211504ccf274f27499c_659591.jpg,Android HyperOS 2,8 GB RAM,2.5K 600 Nits,"11""",1560 X 1600 Pixels,Triple TUV Rheinland Eye Protection,256 GB,519.00 g ( 1.14 lb ),https://www.jarir.com/sa-en/xiaomi-redmi-pad-2-tablet-pc-659591.html,,2.2 GHz,Dual SIM,759.0,new
Wi-Fi Tablet PC,Xiaomi,Redmi Pad SE 8.7,641314,31%,449,309.0,Graphite Grey,https://ak-asset.jarir.com/akeneo-prod/asset/c/0/3/8/c038ec8079bb7c27ced296a0eda5f74c3fe0d3a1_641314.jpg,Android HyperOS,4 GB RAM,IPS-LCD Touchscreen,"8.7""",1340 X 800 Pixels,TUV Rheinland Eye Protection,64 GB,373.00 g ( 13.17 oz ),https://www.jarir.com/sa-en/xiaomi-redmi-pad-se-tablet-pc-641314.html,,2.0 GHz,,309.0,new
Tablet - Wi-Fi (with Clear Case Cover),Xiaomi,Redmi Pad 2,660372,15%,699,589.0,Grey,https://ak-asset.jarir.com/akeneo-prod/asset/8/a/1/2/8a123fd9b7cbbcfef14a3ce79ffae36857c9871e_660372.jpg,Android HyperOS 2,4 GB RAM,2.5K 600 Nits,"11""",2560 X 1600 Pixels,Triple TUV Rheinland Eye Protection,128 GB,510.00 g ( 1.12 lb ),https://www.jarir.com/sa-en/xiaomi-redmi-pad-2-tablet-pc-660372.html,,2.2 GHz,,589.0,new
Tablet - Wi-Fi (with Clear Case Cover),Honor,Pad X9a,655531,12%,799,699.0,Grey,https://ak-asset.jarir.com/akeneo-prod/asset/a/1/7/0/a17008a6cc5d6acb51bca500a7d3e29e13c2a12f_655531.jpg,MagicOS 9.0,8 GB RAM,IPS-LCD Touchscreen,"11.5""",2508 X 1504 Pixels,,128 GB,475.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/honor-pad-x9a-tablet-pc-655531.html,,4X 2.8 (Cortex-A73) + 4X 1.9 (Cortex-A53) GHz,,699.0,new
Tablet - Wi-Fi (with Clear Case Cover),Xiaomi,Redmi Pad 2,660373,15%,699,589.0,Purple,https://ak-asset.jarir.com/akeneo-prod/asset/8/5/f/b/85fb8f3afe4bc545fed41c5cfd3efb957f09b98e_660373.jpg,Android HyperOS 2,4 GB RAM,2.5K 600 Nits,"11""",2560 X 1600 Pixels,Triple TUV Rheinland Eye Protection,128 GB,510.00 g ( 1.12 lb ),https://www.jarir.com/sa-en/xiaomi-redmi-pad-2-tablet-pc-660373.html,,2.2 GHz,,589.0,new
Tablet - 4G (with Case Cover),Honor,Pad X9a,661178,10%,949,849.0,Grey,https://ak-asset.jarir.com/akeneo-prod/asset/d/8/d/a/d8daefa90ebfc790c1782a632c531edfb79db37c_661178.jpg,MagicOS 9.0,8 GB RAM,IPS-LCD Touchscreen,"11.5""",2508 X 1504 Pixels,,128 GB,480.00 g ( 1.06 lb ),https://www.jarir.com/sa-en/honor-pad-x9a-tablet-pc-661178.html,,4X 2.8 (Cortex-A73) + 4X 1.9 (Cortex-A53) GHz,1 SIM,849.0,new
Tablet - Wi-Fi (with Clear Case Cover),Xiaomi,Pad 7,653920,6%,1499,1399.0,Grey,https://ak-asset.jarir.com/akeneo-prod/asset/b/e/4/f/be4f0a3f092075dcdde9c85fcbef543b67a09cbd_653920.jpg,Android HyperOS 2,8 GB RAM,3.2K 144 Hz LCD Display,"11.2""",3200 X 2136 Pixels,"Smartphone Link, Stylus Support (Magnetic)",256 GB,512.00 g ( 1.13 lb ),https://www.jarir.com/sa-en/xiaomi-xiaomi-pad-7-tablet-pc-653920.html,,2.63 GHz,,1399.0,new
Tablet - Wi-Fi (with Case Cover + Film),Lenovo,Legion Tab,652307,4%,2199,2099.0,Eclipse Black,https://ak-asset.jarir.com/akeneo-prod/asset/2/6/8/9/2689fad0d560a48052ca5c96f620e94f958f96c8_652307.jpg,Android 14,12 GB RAM,2.5K 165 Hz LCD Display,"8.8""",2560 X 1600 Pixels,"Dust and Water Resistant (IP53), Legion Coldfront Cooling Sytem",256 GB,350.00 g ( 12.36 oz ),https://www.jarir.com/sa-en/lenovo-legion-tab-tablet-pc-652307.html,,3.3 GHz,,2099.0,new
Wi-Fi Tablet PC,Xiaomi,Pad 7 Pro,653919,5%,1999,1899.0,Grey,https://ak-asset.jarir.com/akeneo-prod/asset/4/3/3/5/4335969fea169473a82c246bfacc0d96a8d078f7_653919.jpg,Android HyperOS 2,12 GB RAM,3.2K 144 Hz LCD Display,"11.2""",3200 X 2136 Pixels,"Smartphone Link, Stylus Support (Magnetic)",512 GB,512.00 g ( 1.13 lb ),https://www.jarir.com/sa-en/xiaomi-xiaomi-pad-7-pro-tablet-pc-653919.html,,3.0 GHz,,1899.0,new
Tablet - 4G (with Case Cover),Lenovo,Tab One,652302,20%,499,399.0,Luna Grey,https://ak-asset.jarir.com/akeneo-prod/asset/b/6/6/6/b6667af4c5d1d3af371da9ee1874fbf0bd021d6b_652302.jpg,Android 14,4 GB RAM,IPS HD-LCD Touchscreen,"8.7""",1340 X 800 Pixels,,128 GB,320.00 g ( 11.30 oz ),https://www.jarir.com/sa-en/lenovo-tab-one-tablet-pc-652302.html,,2.0 + 1.8 GHz,1 SIM,399.0,new
Wi-Fi Tablet PC,Xiaomi,Pad 7 Pro,658485,5%,1999,1899.0,Blue,https://ak-asset.jarir.com/akeneo-prod/asset/e/1/c/3/e1c3a6cd01a1deca0db6d200c5978e29309b0244_658485.jpg,Android HyperOS,12 GB RAM,3.2K 144 Hz LCD Display,"11.2""",3200 X 2136 Pixels,"Smartphone Link, Stylus Support (Magnetic)",512 GB,512.00 g ( 1.13 lb ),https://www.jarir.com/sa-en/xiaomi-pad-7-pro-tablet-pc-658485.html,,3.0 GHz,,1899.0,new
Wi-Fi Tablet PC,Acer,Iconia A10M1,651352,20%,499,399.0,Steel Grey,https://ak-asset.jarir.com/akeneo-prod/asset/3/a/4/a/3a4a2cc5e7570a2e54dc110e800d9e4611d308f1_651352.jpg,Android 14,4 GB RAM,IPS HD-LCD Touchscreen,"10.1""",1280 X 800 Pixels,,128 GB,.45 kg ( .99 lb ),https://www.jarir.com/sa-en/acer-iconia-a10m1-tablet-pc-651352.html,,2.2 GHz,,399.0,new
Tablet - Wi-Fi (with Clear Case Cover),Xiaomi,Redmi Pad 2,660370,10%,799,719.0,Graphite Grey,https://ak-asset.jarir.com/akeneo-prod/asset/f/c/4/b/fc4b62a36374e826533fe568820e56f93bb25731_660370.jpg,Android HyperOS 2,8 GB RAM,2.5K 600 Nits,"11""",1560 X 1600 Pixels,Triple TUV Rheinland Eye Protection,256 GB,510.00 g ( 1.12 lb ),https://www.jarir.com/sa-en/xiaomi-redmi-pad-2-wifi-tablet-pc-660370.html,,2.2 GHz,,719.0,new
Tablet - Wi-Fi (with Clear Case Cover),Xiaomi,Redmi Pad 2,660365,10%,799,719.0,Purple,https://ak-asset.jarir.com/akeneo-prod/asset/4/c/f/5/4cf5e0f1a75afb6a605e61b7109d411bcf8ea84b_660365.jpg,Android HyperOS 2,8 GB RAM,2.5K 600 Nits,"11""",2560 X 1600 Pixels,Triple TUV Rheinland Eye Protection,256 GB,510.00 g ( 1.12 lb ),https://www.jarir.com/sa-en/xiaomi-redmi-pad-2-wifi-tablet-pc-660365.html,,2.2 GHz,,719.0,new
Wi-Fi Tablet PC,Acer,Iconia A8,637746,12%,399,349.0,Silver,https://ak-asset.jarir.com/akeneo-prod/asset/f/0/0/1/f00173c781792c1eea8ab8a8fc7656e24a1eded0_637746.jpg,Android 14,4 GB RAM,IPS-LED Capacitive Touchscreen,"8.7""",1340 X 800 Pixels,,64 GB,385.00 g ( 13.59 oz ),https://www.jarir.com/sa-en/acer-iconia-a8-tablet-pc-637746.html,,1.8 GHz,,349.0,new
Tablet - Wi-Fi with Stand,Taktik,S01,662026,,1699,,Black,https://ak-asset.jarir.com/akeneo-prod/asset/f/3/9/5/f3957afa02c4dd7236fdc51793df9a85bc0eae84_662026.jpg,Android 12,4 GB RAM,IPS FHD-LCD Touchscreen,"21.5""",1920 X 1080 Pixels,Built-In Stand,64 GB,11.13 kg ( 24.54 lb ),https://www.jarir.com/sa-en/taktik-s01-tablet-pc-662026.html,,2.0 GHz,,,new
Tablet - Wi-Fi (with Clear Case Cover),Honor,Pad X7,662336,,349,,Grey,https://ak-asset.jarir.com/akeneo-prod/asset/b/8/d/c/b8dc2684837aeb3306193e6a0808ebb5795902f7_662336.jpg,Android 15,4 GB RAM,IPS-LCD Touchscreen,"8.7""",1340 X 800 Pixels,TUV Rheinland Low Blue Light,128 GB,.36 kg ( .79 lb ),https://www.jarir.com/sa-en/honor-pad-x7-tablet-pc-662336.html,,4X 2.4 (Cortex A73) + 4X 1.9 (Cortex A53) GHz,,,new
Tablet - Wi-Fi with Stand,Taktik,H01,662029,,2199,,White,https://ak-asset.jarir.com/akeneo-prod/asset/b/c/c/b/bccb719c7b63a1dc972c3cde43efc71ecf6873a6_662029.jpg,Android 15,6 GB RAM,IPS FHD-LCD Touchscreen,"27""",1920 X 1080 Pixels,Built-In Stand,128 GB,0.01,https://www.jarir.com/sa-en/taktik-h01-tablet-pc-662029.html,,2.0 + 1.8 GHz,,,new
Wi-Fi Tablet PC,Apple,iPad A16,654176,,1599,,Blue,https://ak-asset.jarir.com/akeneo-prod/asset/f/6/e/3/f6e3870c7e99b7361b22dabbe4a661ecee667bd5_654176.jpg,iPadOS 18,,Liquid Retina Display,"11""",2360 X 1640 Pixels,Touch ID Sensor,128 GB,477.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/apple-ipad-a16-tablet-pc-654176.html,,,,,new
