product_type,brand,model,sku,discount_percent,regular_price_sar,sale_price_sar,ai_coprocessor,ai_enabled,audio_feature,color,cpu_model,gpu_model,os,ram,screen_refresh_rate_hz,screen_resolution,screen_size_inch,storage,touchscreen,webcam,weight_kg,product_url,cpu_clock
2-in-1 Laptop - Convertible,Lenovo,IdeaPad 5,646839,25%,3999,2999,Qualcomm Hexagon NPU up to 45 TOPS,CoPilot+ PC,"Dolby Audio, 2 X 2W Speakers",Luna Grey,Snapdragon X Plus,Qualcomm Adreno GPU,Windows 11 Home,16 GB RAM,WUXGA OLED Multi-touch Display,1920 X 1200 (WUXGA),"14""",512 GB PCIe NVMe M.2 SSD,Yes,1080p FHD Camera with Privacy Shutter,1.49 kg ( 3.28 lb ),https://www.jarir.com/sa-en/lenovo-ideapad-5-2-in-1-laptops-646839.html,3.2 GHz
2-in-1 Laptop - Convertible,Lenovo,Yoga 7,630839,17%,5799,4799,Intel AI Boost,AI Enabled,"Dolby Atmos, 2 X 2W Speakers",Storm Grey,Intel Core Ultra 7,Intel Arc Graphics,Windows 11 Home,16 GB RAM,2.8K OLED 400N Multi-touch Display,2880 X 1800,"14""",1 TB PCIe NVMe M.2 SSD,Yes,1080p FHD Camera with Privacy Shutter,1.49 kg ( 3.28 lb ),https://www.jarir.com/sa-en/lenovo-yoga-7-2-in-1-laptops-630839.html,P-core: 1.4 - 4.8 GHz/E-core: 0.9 - 3.8 GHz
2-in-1 Laptop - Convertible,HP,Elite x360,619502,13%,6699,5799,,,"Bang & Olufsen Quad Speakers, HP Audio Boost",Aluminum Silver,Intel Core i7,Intel Iris Xe Graphics,Windows 11 Pro,16 GB RAM,WUXGA Multi-touch Display,1920 X 1200 (WUXGA),"14""",1 TB PCIe NVMe M.2 SSD,Yes,True Vision 5 MP IR Webcam,1.34 kg ( 2.95 lb ),https://www.jarir.com/sa-en/hp-1040-g10-2-in-1-laptops-619502.html,P-core: 1.7 - 5.0 GHz/E-core: 1.2 - 3.7 GHz
2-in-1 Laptop - Convertible,Asus,Vivobook Flip,620620,20%,4699,3749,,,Harman Kardon,Cool Silver,Intel Core i9,Intel Iris Xe Graphics,Windows 11,16 GB RAM,WUXGA Multi-touch Display,1920 X 1200 (WUXGA),"14""",1 TB PCIe NVMe M.2 SSD,Yes,1080p FHD Camera with Privacy Shutter,1.50 kg ( 3.31 lb ),https://www.jarir.com/sa-en/asus-2-in-1-laptops-620620.html,2.6 GHz
2-in-1 Laptop - Convertible,HP,Pavilion x360,618666,31%,2899,1999,,,,Natural Silver,Intel Core i3,Intel Iris Xe Graphics,Windows 11,8 GB RAM,FHD-IPS LED Multi-touch Display,1920 X 1080 (FHD),"14""",256 GB PCIe NVMe M.2 SSD,Yes,True Vision HD Webcam,1.50 kg ( 3.31 lb ),https://www.jarir.com/sa-en/hp-pavilion-x360-14-2-in-1-laptops-618666.html,P-core: 1.2 - 4.5 GHz/E-core: 0.9 - 3.3 GHz
2-in-1 Laptop - Convertible,Lenovo,Yoga 7,653612,13%,5799,4999,Intel AI Boost up to 47 TOPS,CoPilot+ PC,"Dolby Atmos, 2 X 4W Speakers",Luna Grey,Intel Core Ultra 7,Intel Arc Graphics 140V,Windows 11 Home,16 GB RAM,WUXGA OLED Multi-touch Display,1920 X 1200 (WUXGA),"14""",1 TB SSD,Yes,5 MP + IR with Camera Shutter,1.40 kg ( 3.09 lb ),https://www.jarir.com/sa-en/lenovo-yoga-7-2-in-1-laptops-653612.html,P-core: 2.2 - 4.8 GHz/E-core: 2.2 - 3.7 GHz
2-in-1 Laptop - Convertible,Lenovo,IdeaPad Flex 5,638113,17%,3899,3199,,,"Dolby Audio, 2 X 2W Speakers",Luna Grey,Intel Core i7,Intel UHD Graphics,Windows 11 Home,16 GB RAM,WUXGA IPS 300N Multi-touch Display,1920 X 1200 (WUXGA),"14""",512 GB PCIe NVMe M.2 SSD,Yes,1080p FHD Camera with Privacy Shutter,1.55 kg ( 3.42 lb ),https://www.jarir.com/sa-en/lenovo-ideapad-flex-5-2-in-1-laptops-638113.html,P-core: 2.4 - 4.9 GHz/E-core: 1.8 - 3.6 GHz
2-in-1 Laptop - Convertible,Lenovo,Yoga 7,653611,15%,5299,4499,AMD Ryzen AI up to 50 TOPS,AI Enabled,"Dolby Atmos, 2 X 4W Speakers",Tidal Teal,AMD Ryzen 7,AMD Radeon 860M,Windows 11 Home,24 GB RAM,WUXGA OLED Multi-touch Display,1920 X 1200 (WUXGA),"14""",1 TB SSD,Yes,5 MP + IR with Camera Shutter,1.40 kg ( 3.09 lb ),https://www.jarir.com/sa-en/lenovo-yoga-7-2-in-1-laptops-653611.html,2.0 GHz
2-in-1 Laptop - Detachable,Microsoft,Surface Pro 11,639135,14%,4699,3999,Qualcomm Hexagon NPU 45 TOPS,CoPilot+ PC,2W Speakers,Platinum,Snapdragon X Plus,Qualcomm Adreno,Windows 11 Home,16 GB RAM,PixelSense Flow Display,2880 X 1920,"13""",256 GB SSD,Yes,Rear: 10 MP/Front: Quad HD,.90 kg ( 1.98 lb ),https://www.jarir.com/sa-en/microsoft-surface-pro-11-2-in-1-laptops-639135.html,
2-in-1 Laptop - Convertible,Asus,ProArt PZ13,649026,16%,4999,4199,Qualcomm Hexagon NPU up to 45 TOPS,CoPilot+ PC,Built-in Speakers,Nano Black,Snapdragon X Plus,Qualcomm Adreno GPU,Windows 11 Home,16 GB RAM,3K OLED Touch Display,2880 X 1800,"13.3""",1 TB SSD,Yes,Rear: 13 MP/Front: 5 MP,.85 kg ( 1.87 lb ),https://www.jarir.com/sa-en/asus-proart-pz13-2-in-1-laptops-649026.html,3.2 GHz
