product_type,brand,model,sku,discount_percent,regular_price_sar,sale_price_sar,ai_coprocessor,ai_enabled,color,cpu_clock,cpu_model,gpu_model,image_url,os,ram,storage,weight_kg,product_url,price,renewed
AIO,Apple,Mac mini M4 Pro,646448,,6699,,16-core Neural Engine,Apple Intelligence,Silver,,M4,16-core GPU,https://ak-asset.jarir.com/akeneo-prod/asset/4/5/4/8/4548754869ad49b34fab388a402abf25668224c3_646448.jpg,macOS Sequoia,24 GB RAM,512 GB SSD,1.12,https://www.jarir.com/sa-en/apple-mac-mini-m4-cpu-646448.html,,new
AIO,Apple,Mac mini,607949,50%,6099,2999.0,16-core Neural Engine,Apple Intelligence,Silver,,M2,16-core GPU,https://ak-asset.jarir.com/akeneo-prod/asset/5/7/d/6/57d69e7366364ef8f7ad016b97deeb6f9b06bcde_607949.jpg,macOS Ventura,16 GB RAM,512 GB SSD,1.87,https://www.jarir.com/sa-en/apple-cpu-607949.html,2999.0,new
AIO,Apple,Mac Studio,619116,23%,8499,6499.0,12-core Neural Engine,Apple Intelligence,Silver,,M2,30-core GPU,https://ak-asset.jarir.com/akeneo-prod/asset/0/a/e/e/0aee0acd732b5a0c9f51f6a4257620a3e9bc516d_619116.jpg,macOS Ventura,32 GB RAM,512 GB SSD,5.4,https://www.jarir.com/sa-en/apple-cpu-619116.html,6499.0,new
AIO,Apple,Mac mini,607951,40%,3749,2249.0,16-core Neural Engine,Apple Intelligence,Silver,,M2,10-core GPU,https://ak-asset.jarir.com/akeneo-prod/asset/0/2/c/4/02c48475230c62dc9eeb5ef247ca800f7aa03a82_607951.jpg,macOS Ventura,8 GB RAM,512 GB SSD,1.87,https://www.jarir.com/sa-en/apple-cpu-607951.html,2249.0,new
AIO,Apple,Mac mini,646446,,3749,,16-core Neural Engine,Apple Intelligence,Silver,,M4,10-core GPU,https://ak-asset.jarir.com/akeneo-prod/asset/c/b/f/0/cbf0f6fb4808cb5d305dd8edf41ebcaafcdf93c5_646446.jpg,macOS Sequoia,16 GB RAM,512 GB SSD,1.12,https://www.jarir.com/sa-en/apple-mac-mini-m4-cpu-646446.html,,new
AIO,Apple,Mac Studio,654341,,18999,,32-core Neural Engine,Apple Intelligence,Silver,,M3,60-core GPU,https://ak-asset.jarir.com/akeneo-prod/asset/7/5/5/e/755e591663d41b5516d2e5ed17b3b56a36f7c58a_654341.jpg,macOS Sequoia,96 GB RAM,1 TB SSD,5.09,https://www.jarir.com/sa-en/apple-mac-studio-cpu-654341.html,,new
AIO,Apple,Mac mini,646447,,4699,,16-core Neural Engine,Apple Intelligence,Silver,,M4,10-core GPU,https://ak-asset.jarir.com/akeneo-prod/asset/a/3/d/e/a3deabe358468ad646ad6cacd05cce8e6ea99104_646447.jpg,macOS Sequoia,24 GB RAM,512 GB SSD,1.12,https://www.jarir.com/sa-en/apple-mac-mini-m4-cpu-646447.html,,new
AIO,Asus,ROG Strix,639469,18%,8199,6699.0,,,Extreme Dark Gray,2.1 GHz,Intel Core i7,NVIDIA GeForce RTX 4070 Dual (12 GB),https://ak-asset.jarir.com/akeneo-prod/asset/6/1/4/f/614fdbaf74febd91719bde428a6518a99266d2cd_639469.jpg,Windows 11 Home,32 GB RAM,1 TB PCIe NVMe M.2 SSD,21.63,https://www.jarir.com/sa-en/asus-cpu-639469.html,6699.0,new
AIO,HP,OMEN 45L,635738,10%,16999,15199.0,,,Black,6.0 GHz,Intel Core i9,NVIDIA GeForce RTX 4080 Super (16 GB),https://ak-asset.jarir.com/akeneo-prod/asset/8/6/1/0/8610c246f1f8c2f06a7dd5555d1bdb8a9e7311f6_635738.jpg,Windows 11 Home,64 GB RAM,2 TB PCIe NVMe TLC M.2 SSD,31.87,https://www.jarir.com/sa-en/hp-omen-cpu-635738.html,15199.0,new
AIO,Lenovo,Legion T5,646841,21%,5999,4699.0,,,Storm Grey,P-core: 2.2 - 5.2 GHz/E-core: 1.6 - 3.7 GHz,Intel Core i7,NVIDIA GeForce RTX 4060 (8 GB),https://ak-asset.jarir.com/akeneo-prod/asset/a/0/e/5/a0e5378a66176d15c00a952929ccb28e0584f46a_646841.jpg,Windows 11 Home,16 GB RAM,1 TB PCIe NVMe M.2 SSD,21.64,https://www.jarir.com/sa-en/lenovo-legion-t5-cpu-646841.html,4699.0,new
AIO,Apple,Mac mini,607950,35%,2499,1619.0,16-core Neural Engine,Apple Intelligence,Silver,,M2,10-core GPU,https://ak-asset.jarir.com/akeneo-prod/asset/8/6/a/5/86a578bcdde50398ae00cac33fe7608974b7d480_607950.jpg,macOS Ventura,8 GB RAM,256 GB SSD,1.95,https://www.jarir.com/sa-en/apple-cpu-607950.html,1619.0,new
AIO,Apple,Mac mini,629271,54%,3749,1699.0,,,Silver,,M2,10-core GPU,https://ak-asset.jarir.com/akeneo-prod/asset/e/2/c/a/e2ca4b233404dcdba651d109163ed8b7604a90c2_629271.jpg,macOS Ventura,8 GB RAM,512 GB SSD,0.01,https://www.jarir.com/sa-en/apple-mac-mini-m2-renewed-cpu-629271.html,1699.0,renewed
AIO,HP,Victus 15L,635736,9%,6599,5999.0,,,Mica Silver Metal,5.4 GHz,Intel Core i7,NVIDIA GeForce RTX 4060 (8 GB),https://ak-asset.jarir.com/akeneo-prod/asset/3/a/0/6/3a061a8b60d04429b909df1063656078f1366d52_635736.jpg,Windows 11,32 GB RAM,1 TB PCIe NVMe M.2 SSD,21.4,https://www.jarir.com/sa-en/hp-victus-cpu-635736.html,5999.0,new
AIO,Apple,Mac Studio,654338,,9499,,16-core Neural Engine,Apple Intelligence,Silver,,M4,32-core GPU,https://ak-asset.jarir.com/akeneo-prod/asset/a/9/2/f/a92f38357457d5abae50c214760a12a5e5daaff3_654338.jpg,macOS Sequoia,36 GB RAM,512 GB SSD,5.43,https://www.jarir.com/sa-en/apple-mac-studio-cpu-654338.html,,new
