product_type,brand,model,sku,discount_percent,regular_price_sar,sale_price_sar,ai_coprocessor,ai_enabled,audio_feature,color,cpu_clock,cpu_model,gpu_model,image_url,os,ram,release_date,screen_refresh_rate_hz,screen_resolution,screen_size_inch,special_features,storage,webcam,weight_kg,product_url,price,renewed
Gaming Laptop,MSI,Stealth,641154,30%,6799.0,4699.0,Intel AI Boost,AI Enabled,"Nahimic Sound, 2 X 2W Speakers",Star Blue,1.4 GHz,Intel Core Ultra 7,NVIDIA GeForce RTX 4060 (8 GB),https://ak-asset.jarir.com/akeneo-prod/asset/1/e/9/5/1e95fdd6eb1c376a2125f9eaaf69922f2e06be2f_641154.jpg,Windows 11 Home,16 GB RAM,2024.0,OLED 120 Hz DisplayHDR 500 (VESA Certified),2880 X 1800 (OLED),"14""",,1 TB PCIe 4.0 NVMe M.2 SSD,FHD IR Camera,1.70 kg ( 3.75 lb ),https://www.jarir.com/sa-en/msi-stealth-14-laptops-641154.html,4699.0,new
Gaming Laptop,Lenovo,Legion 7,628026,19%,10499.0,8499.0,,,Harman Speakers with Nahimic Audio,Eclipse Black,2.2 GHz,Intel Core i9,NVIDIA GeForce RTX 4070 (8 GB),https://ak-asset.jarir.com/akeneo-prod/asset/9/7/5/3/9753fcf1f0e01d1973019215d69adb27fe4b2645_628026.jpg,Windows 11 Home,32 GB RAM,2023.0,3.2K IPS 165 Hz,3200 X 2000,"16""",,1 TB PCIe NVMe M.2 SSD,FHD Webcam,2.00 kg ( 4.41 lb ),https://www.jarir.com/sa-en/lenovo-legion-7-laptops-628026.html,8499.0,new
Gaming Laptop,Asus,ROG Strix,635115,16%,12499.0,10499.0,,,4 Speakers with Smart Amp Technology,Eclipse Grey,2.2 GHz,Intel Core i9,NVIDIA GeForce RTX 4080 (12 GB),https://ak-asset.jarir.com/akeneo-prod/asset/7/5/4/4/7544fca0321c675d1150f717be50a886292fcf31_635115.jpg,Windows 11 Home,32 GB RAM,2024.0,QHD+ 240 Hz Display,2560 X 1600 (WQXGA),"16""","Backlit Chiclet Keyboard Per Key RGB, AI Noise Canceling",1 TB M.2 NVMe PCIe 4.0 SSD,720p HD Camera,2.50 kg ( 5.51 lb ),https://www.jarir.com/sa-en/asus-rog-strix-g16-laptops-635115.html,10499.0,new
Gaming Desktop CPU,HP,OMEN 45L,635738,10%,16999.0,15199.0,,,,Black,6.0 GHz,Intel Core i9,NVIDIA GeForce RTX 4080 Super (16 GB),https://ak-asset.jarir.com/akeneo-prod/asset/8/6/1/0/8610c246f1f8c2f06a7dd5555d1bdb8a9e7311f6_635738.jpg,Windows 11 Home,64 GB RAM,,,,,,2 TB PCIe NVMe TLC M.2 SSD,,31.87,https://www.jarir.com/sa-en/hp-omen-cpu-635738.html,15199.0,new
Gaming Desktop CPU,Asus,ROG Strix,639469,18%,8199.0,6699.0,,,,Extreme Dark Gray,2.1 GHz,Intel Core i7,NVIDIA GeForce RTX 4070 Dual (12 GB),https://ak-asset.jarir.com/akeneo-prod/asset/6/1/4/f/614fdbaf74febd91719bde428a6518a99266d2cd_639469.jpg,Windows 11 Home,32 GB RAM,,,,,,1 TB PCIe NVMe M.2 SSD,,21.63,https://www.jarir.com/sa-en/asus-cpu-639469.html,6699.0,new
Gaming Laptop,MSI,Katana,638292,20%,7499.0,5999.0,,,Dynaudio Sound 2 X 2W Speakers with Passive Radiator,Black,P-core: 2.6 - 5.4 GHz/E-core: 1.9 - 4.1 GHz,Intel Core i9,NVIDIA GeForce RTX 4070 (8 GB),https://ak-asset.jarir.com/akeneo-prod/asset/1/d/2/6/1d263b24482878cba4e429e4c34de229917feb99_638292.jpg,Windows 11 Home,16 GB RAM,2024.0,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"15.6""",,1 TB NVMe PCIe Gen 4Ã4 SSD,FHD Webcam,2.25 kg ( 4.96 lb ),https://www.jarir.com/sa-en/msi-katana-15-laptops-638292.html,5999.0,new
Gaming Laptop,Acer,Nitro 5,644112,32%,5499.0,3699.0,,,Built-in Mic/Speakers,Black,2.5 GHz,Intel Core i9,NVIDIA GeForce RTX 4060 (8 GB),https://ak-asset.jarir.com/akeneo-prod/asset/8/a/f/5/8af58423a1bf04e6ad8956df54571f305e5a7782_644112.jpg,Windows 11,16 GB RAM,2024.0,FHD-LED 144 Hz,1920 X 1080 (FHD),"15.6""",RGB Keyboard,1 TB SSD,720p HD Camera,2.10 kg ( 4.63 lb ),https://www.jarir.com/sa-en/acer-nitro-5-laptops-644112.html,3699.0,new
Gaming Laptop,MSI,Thin,634436,33%,2999.0,1999.0,,,"2 X 2W Speakers, DTS Audio Processing",Cosmos Grey,2.0 GHz,Intel Core i5,NVIDIA GeForce RTX 2050 (4 GB),https://ak-asset.jarir.com/akeneo-prod/asset/2/6/4/9/2649e7fca29fd11ebf464146b8e8a4b2c07c41c8_634436.jpg,Windows 11 Home,8 GB RAM,2024.0,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"15.6""",,512 GB NVMe PCIe SSD Gen 4x4,HD Webcam,1.86 kg ( 4.10 lb ),https://www.jarir.com/sa-en/msi-thin-15-laptops-634436.html,1999.0,new
Gaming Laptop,Acer,Nitro V,639591,30%,4999.0,3499.0,,,Built-in Mic/Speakers,Black,3.3 GHz,AMD Ryzen 7,NVIDIA GeForce RTX 4050 (6 GB),https://ak-asset.jarir.com/akeneo-prod/asset/5/5/1/9/551972c7e97fab35c881bcd9e4201caab0d6c18d_639591.jpg,Windows 11,16 GB RAM,2024.0,FHD-LED Display 165 Hz,1920 X 1080 (WUXGA),"16""",,512 GB NVMe M.2 SSD,HD Webcam,2.10 kg ( 4.63 lb ),https://www.jarir.com/sa-en/acer-nitro-v16-laptops-639591.html,3499.0,new
Gaming Desktop CPU,Lenovo,Legion T5,646841,21%,5999.0,4699.0,,,,Storm Grey,P-core: 2.2 - 5.2 GHz/E-core: 1.6 - 3.7 GHz,Intel Core i7,NVIDIA GeForce RTX 4060 (8 GB),https://ak-asset.jarir.com/akeneo-prod/asset/a/0/e/5/a0e5378a66176d15c00a952929ccb28e0584f46a_646841.jpg,Windows 11 Home,16 GB RAM,,,,,,1 TB PCIe NVMe M.2 SSD,,21.64,https://www.jarir.com/sa-en/lenovo-legion-t5-cpu-646841.html,4699.0,new
Gaming Laptop,MSI,Thin,638295,20%,4499.0,3599.0,,,Dynaudio Sound 2X 2W Speakers with Passive Radiator,Black,2.4 GHz,Intel Core i7,NVIDIA GeForce RTX 4050 (6 GB),https://ak-asset.jarir.com/akeneo-prod/asset/c/e/e/e/ceee200afa5434faa749f02da4b202fca164472e_638295.jpg,Windows 11 Home,16 GB RAM,2024.0,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"15.6""",,512 GB NVMe PCIe SSD Gen 4x4,FHD Webcam,1.86 kg ( 4.10 lb ),https://www.jarir.com/sa-en/msi-thin-15-laptops-638295.html,3599.0,new
Gaming Laptop,HP,OMEN,646601,6%,8699.0,8099.0,,,,Shadow Black,4.0 GHz,AMD Ryzen 9,NVIDIA GeForce RTX 4060 (8 GB),https://ak-asset.jarir.com/akeneo-prod/asset/5/6/8/7/5687a24b91fd54dabc979b92b0e28eb232ac3c75_646601.jpg,Windows 11,32 GB RAM,2024.0,QHD IPS AG 300N 240 Hz,2304 X 1440 (QHD),"17.3""",,1 TB PCIe Gen4,FHD 1080p with Privacy Shutter,2.95 kg ( 6.50 lb ),https://www.jarir.com/sa-en/hp-omen-laptops-646601.html,8099.0,new
Gaming Laptop,Asus,TUF,637820,11%,4299.0,3799.0,,,"AI Noise Cancelling, Dolby Atmos",Mecha Grey,3.1 GHz,AMD Ryzen 7,NVIDIA GeForce RTX 4050 (6 GB),https://ak-asset.jarir.com/akeneo-prod/asset/8/7/2/9/8729c4e87c9bb1dee6080f44183852e61e37c3bb_637820.jpg,Windows 11 Home,16 GB RAM,2024.0,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"15.6""",Backlit Chiclet Keyboard 1-Zone RGB,1 TB,720p HD Camera,2.20 kg ( 4.85 lb ),https://www.jarir.com/sa-en/asus-laptops-637820.html,3799.0,new
Gaming Laptop,MSI,Pulse 16,650275,9%,5499.0,4999.0,Intel AI Boost,AI Enabled,"Nahimic Sound, 2 X 2W Speakers",Core Black,P-core: 2.3 - 5.1 GHz/E-core: 1.8 - 3.8 GHz,Intel Core Ultra 9,NVIDIA GeForce RTX 4060 (8 GB),https://ak-asset.jarir.com/akeneo-prod/asset/0/6/1/f/061f123826c067c319b17004c8b69de1fcd7553b_650275.jpg,Windows 11 Home,16 GB RAM,2024.0,QHD+ 240 Hz Display,2560 X 1600,"16""",,1 TB PCIe NVMe M.2 SSD,HD Webcam,2.50 kg ( 5.51 lb ),https://www.jarir.com/sa-en/msi-pulse-16-laptops-650275.html,4999.0,new
Gaming Desktop CPU,HP,Victus 15L,635736,9%,6599.0,5999.0,,,,Mica Silver Metal,5.4 GHz,Intel Core i7,NVIDIA GeForce RTX 4060 (8 GB),https://ak-asset.jarir.com/akeneo-prod/asset/3/a/0/6/3a061a8b60d04429b909df1063656078f1366d52_635736.jpg,Windows 11,32 GB RAM,,,,,,1 TB PCIe NVMe M.2 SSD,,21.4,https://www.jarir.com/sa-en/hp-victus-cpu-635736.html,5999.0,new
Gaming Laptop,Lenovo,IdeaPad Gaming 3,626978,,4399.0,,,,"Nahimic Sound, 2 X 2W Speakers",Onyx Grey,3.2 GHz,AMD Ryzen 7,NVIDIA GeForce RTX 3050 (6 GB),https://ak-asset.jarir.com/akeneo-prod/asset/7/3/6/e/736e112c782ca8cb284f0c87aff2f630667aee4b_626978.jpg,Windows 11 Home,16 GB RAM,2023.0,FHD IPS AG 250N,1920 X 1080 (FHD),"15.6""",,512 GB NVMe M.2 SSD,720p HD Camera with Privacy Shutter,2.32 kg ( 5.11 lb ),https://www.jarir.com/sa-en/lenovo-ideapad-gaming-3-laptops-626978.html,,new
Gaming Laptop,HP,15-dc0001nx,522749,36%,4708.43,2999.0,,,Bang & Olufsen Dual Speakers,Shadow Black,2.2 GHz,Intel Core i7,NVIDIA GeForce GTX 1050 (4 GB),https://ak-asset.jarir.com/akeneo-prod/asset/3/4/e/e/34eedbd59197f36b6866c3d99193bcd44a045a0c_522749.jpg,Windows 10,8 GB RAM,2018.0,FHD-WLED Anti-glare Display,1920 X 1080 (WUXGA),"15.6""",,16 GB (Optane)/1 TB HDD,True Vision HD Webcam,2.62 kg ( 5.78 lb ),https://www.jarir.com/sa-en/hp-15-dc0001nx-renewed-laptops-522749.html,2999.0,renewed
Gaming Laptop,HP,OMEN,644001,36%,7199.0,4599.0,,,"Bang & Olufsen Dual Speakers, DTS:X Ultra, HP Audio Boost, Audio Combo Port",Shadow Black,2.3 GHz,Intel Core i7,NVIDIA GeForce RTX 3060 (6 GB),https://ak-asset.jarir.com/akeneo-prod/asset/a/1/c/d/a1cdaa78b56bef38e3cf15d600d11920ff287375_644001.jpg,Windows 10,16 GB RAM,2021.0,FHD-WLED IPS 144 Hz Anti-glare Micro Edge Display,1920 X 1080 (FHD),"16.1""",,1 TB PCIe NVMe M.2 SSD,Wide Vision HD Webcam,2.31 kg ( 5.09 lb ),https://www.jarir.com/sa-en/hp-omen-renewed-laptops-644001.html,4599.0,renewed
