product_type,brand,model,sku,discount_percent,regular_price_sar,sale_price_sar,ai_coprocessor,ai_enabled,audio_feature,color,cpu_clock,cpu_model,gpu_model,image_url,os,ram,release_date,screen_refresh_rate_hz,screen_resolution,screen_size_inch,special_features,storage,webcam,weight_kg,product_url,price,renewed
Gaming Desktop CPU,Acer,Predator Orion 7000,649806,9%,25999.0,23499.0,Intel AI Boost,AI Enabled,,Black,P-core: 3.7 - 5.5 GHz/E-core: 3.2 - 4.6 GHz,Intel Core Ultra 9,NVIDIA GeForce RTX 5090 (32 GB),https://ak-asset.jarir.com/akeneo-prod/asset/9/7/c/e/97ce5de63334c30a0594378f9c00a1673127ffc4_649806.jpg,Windows 11,128 GB RAM,,,,,,2 TB SSD,,30.69,https://www.jarir.com/sa-en/acer-predator-orion-7000-cpu-649806.html,23499.0,new
Gaming Laptop,MSI,Vector,650249,19%,12999.0,10499.0,Intel AI Boost up to 13 TOPS,AI Enabled,"Nahimic Sound, 2 X 2W Speakers",Cosmos Grey,P-core: 2.7 - 5.4 GHz/E-core: 2.1 - 4.6 GHz,Intel Core Ultra 9,NVIDIA GeForce RTX 5070 Ti (12 GB),https://ak-asset.jarir.com/akeneo-prod/asset/f/5/d/c/f5dc9e258355b739482212f8430a686897900063_650249.jpg,Windows 11 Home,32 GB RAM,2025.0,QHD+ 240 Hz Display,2560 X 1600,"16""",24-Zone RGB Gaming Keyboard,1 TB PCIe 4.0 NVMe M.2 SSD,HD Webcam,2.70 kg ( 5.95 lb ),https://www.jarir.com/sa-en/msi-vector-16-hx-laptops-650249.html,10499.0,new
Gaming Desktop CPU,MSI,Infinite X3 AI,650218,16%,11999.0,9999.0,Intel AI Boost,AI Enabled,,Black,3.3 GHz,Intel Core Ultra 7,NVIDIA GeForce RTX 5070 (12 GB),https://ak-asset.jarir.com/akeneo-prod/asset/e/6/3/a/e63aa195c2b0769716595a6f24ee914ab0a499c7_650218.jpg,Windows 11,32 GB RAM,,,,,,1 TB SSD,,29.24,https://www.jarir.com/sa-en/msi-infinite-x3-cpu-650218.html,9999.0,new
Gaming Laptop,Asus,ROG Strix SCAR 18,648710,11%,18999.0,16799.0,Intel AI Boost up to 13 TOPS,AI Enabled,4 Speakers with Smart Amp Technology,Off Black,2.7 GHz,Intel Core Ultra 9,NVIDIA GeForce RTX 5080 (16 GB),https://ak-asset.jarir.com/akeneo-prod/asset/7/5/0/8/750877d0d15f923b145f77e9273a60ce28f21112_648710.jpg,Windows 11 Home,64 GB RAM,2025.0,2.5K WQXGA Mini LED 240 Hz Display,2560 X 1600 (WQXGA),"18""","Backlit Chiclet Keyboard Per Key RGB, AI Noise Canceling",2 TB M.2 NVMe PCIe 4.0 SSD,1080P FHD IR Camera,3.30 kg ( 7.28 lb ),https://www.jarir.com/sa-en/asus-rog-strix-g16-laptops-648710.html,16799.0,new
Gaming Laptop,Lenovo,Legion Pro 5,628022,25%,7999.0,5999.0,,,"Nahimic Sound, 2 X 2W Speakers",Onyx Grey,3.7 GHz,Intel Core i7,NVIDIA GeForce RTX 4060 (8 GB),https://ak-asset.jarir.com/akeneo-prod/asset/a/c/6/c/ac6cbe43b9202ac9e29cd3b9703a1c196da9d10a_628022.jpg,Windows 11,16 GB RAM,2023.0,QHD-LED IPS 165 Hz Display,2560 X 1600 (WQXGA),"16""",,1 TB PCIe NVMe M.2 SSD,FHD Webcam,2.50 kg ( 5.51 lb ),https://www.jarir.com/sa-en/lenovo-legion-pro-5-laptops-628022.html,5999.0,new
Gaming Desktop CPU,HP,OMEN 40L,635737,16%,11999.0,9999.0,,,,Black,5.6 GHz,Intel Core i7,NVIDIA GeForce RTX 4070 Super (12 GB),https://ak-asset.jarir.com/akeneo-prod/asset/3/6/f/f/36ff689a1550d63ee39a0434a40300c7d818149c_635737.jpg,Windows 11 Home,64 GB RAM,,,,,,1 TB PCIe NVMe TLC SSD,,27.37,https://www.jarir.com/sa-en/hp-omen-cpu-635737.html,9999.0,new
Gaming Laptop,Asus,ROG Zephyrus,641091,17%,10699.0,8799.0,AMD XDNA up to 50 TOPS,CoPilot+ PC,4 Speaker (Dual-force Woofer)/2 Tweeters,Platinum White,2.0 GHz,AMD Ryzen AI,NVIDIA GeForce RTX 4070 (8 GB),https://ak-asset.jarir.com/akeneo-prod/asset/8/5/e/b/85eb3bebf444c4b00d4b5527bf93d269ae0bdb75_641091.jpg,Windows 11 Home,32 GB RAM,2024.0,2.5K WQXGA OLED 240 Hz,2560 X 1600 (WQXGA),"16""",MUX Switch + NVIDIA Advanced Optimus,1 TB M.2 NVMe PCIe 4.0 SSD,1080P FHD IR Camera,1.85 kg ( 4.08 lb ),https://www.jarir.com/sa-en/asus-laptops-641091.html,8799.0,new
Gaming Laptop,HP,OMEN,634915,26%,9499.0,6999.0,Intel AI Boost,AI Enabled,"DTS:X Ultra, Dual Speakers, HP Audio Boost",Shadow Black,4.8 GHz,Intel Core Ultra 7,NVIDIA GeForce RTX 4060 (8 GB),https://ak-asset.jarir.com/akeneo-prod/asset/5/6/b/4/56b438809a12bda761e62b99866abc38d8ae8cf3_634915.jpg,Windows 11 Home,16 GB RAM,2024.0,2.8K OLED 400N Display,2880 X 1800 (OLED),"14""","RGB Backlit, Low Blue Light",1 TB PCIe NVMe M.2 SSD,True Vision 1080p FHD IR Camera,1.63 kg ( 3.59 lb ),https://www.jarir.com/sa-en/hp-omen-laptops-634915.html,6999.0,new
Gaming Laptop,HP,Victus,646603,27%,6499.0,4699.0,,,,Mica Silver,P-core: 2.2 - 5.2 GHz/E-core: 1.6 - 3.7 GHz,Intel Core i7,NVIDIA GeForce RTX 4050 (6 GB),https://ak-asset.jarir.com/akeneo-prod/asset/0/6/c/b/06cb4ab57ee5aa6747ff69c890b2bb27c8c9b088_646603.jpg,Windows 11,16 GB RAM,2024.0,FHD-IPS Anti-glare,1920 X 1080 (FHD),"16.1""",,1 TB PCIe Gen4,FHD 1080p with Privacy Shutter,2.33 kg ( 5.14 lb ),https://www.jarir.com/sa-en/hp-victus-laptops-646603.html,4699.0,new
Gaming Laptop,HP,Victus,634894,30%,4999.0,3499.0,,,"DTS:X Ultra, Dual Speakers, HP Audio Boost, HyperX",Mica Silver,P-core: 2.4 - 4.8 GHz/E-core: 1.8 - 3.5 GHz,Intel Core i5,NVIDIA GeForce RTX 3050 (6 GB),https://ak-asset.jarir.com/akeneo-prod/asset/b/c/0/2/bc0240454a2f894ef0d8953429710b7243eed955_634894.jpg,Windows 11 Home,16 GB RAM,2024.0,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"16.1""","Backlit Keyboard, Low Blue Light",1 TB PCIe NVMe M.2 SSD,True Vision FHD Webcam,2.31 kg ( 5.09 lb ),https://www.jarir.com/sa-en/hp-victus-laptops-634894.html,3499.0,new
Gaming Laptop,HP,Victus,634895,20%,7299.0,5799.0,,,"B&O PLAY, Dual Speakers, HP Audio Boost",Performance Blue,5.1 GHz,AMD Ryzen 7,NVIDIA GeForce RTX 4060 (8 GB),https://ak-asset.jarir.com/akeneo-prod/asset/d/2/4/2/d2426820771113dc03a0cc22c619786dd78b1d8c_634895.jpg,Windows 11 Home,32 GB RAM,2024.0,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"16.1""","Backlit Keyboard with Numeric Keypad, Low Blue Light",1 TB PCIe NVMe M.2 SSD,True Vision FHD Webcam,2.33 kg ( 5.14 lb ),https://www.jarir.com/sa-en/hp-16-s0004nx-laptops-634895.html,5799.0,new
2-in-1 Gaming Laptop - Convertible,Asus,ROG Flow Z13,648713,16%,8999.0,7499.0,AMD Ryzen AI up to 50 TOPS,CoPilot+ PC,"2 X 2W Dual-force Speakers, Dolby Atmos",Off Black,3.2 GHz,AMD Ryzen AI,AMD Radeon Graphics,https://ak-asset.jarir.com/akeneo-prod/asset/4/8/6/d/486d383abd2d8ccaec28ff4b36b40d659867883e_648713.jpg,Windows 11 Home,32 GB RAM,2024.0,2.5K Display,2560 X 1600 (WQXGA),"13.4""",MUX Switch + NVIDIA Advanced Optimus,1 TB PCIe NVMe M.2 SSD,Rear: 5 MP (IR Camera)/Front: 13 MP,1.20 kg ( 2.65 lb ),https://www.jarir.com/sa-en/asus-rog-zephyrus-g16-laptops-648713.html,7499.0,new
Gaming Laptop,HP,Victus,616016,23%,5999.0,4599.0,,,"Bang & Olufsen Dual Speakers, HP Audio Boost",Mica Silver,P-core: 2.4 - 5.0 GHz/E-core: 1.8 - 3.7 GHz,Intel Core i7,NVIDIA GeForce RTX 4050 (6 GB),https://ak-asset.jarir.com/akeneo-prod/asset/9/d/3/f/9d3f1736b08aedf6849216e1b2125c20d6e7b73f_616016.jpg,Windows 11,16 GB RAM,2023.0,FHD IPS AG 250N,1920 X 1080 (FHD),"15.6""",,1 TB PCIe NVMe M.2 SSD,Wide Vision HD Webcam,2.20 kg ( 4.85 lb ),https://www.jarir.com/sa-en/hp-victus-laptops-616016.html,4599.0,new
