product_type,brand,model,sku,discount_percent,regular_price_sar,sale_price_sar,ai_coprocessor,ai_enabled,color,cpu_clock,cpu_model,gpu_model,os,ram,release_date,screen_refresh_rate_hz,screen_resolution,screen_size_inch,storage,touchscreen,webcam,weight_kg,product_url,audio_feature,special_features
Laptop,Lenovo,IdeaPad Pro 5,631066,17%,5699,4699,Intel AI Boost,AI Enabled,Arctic Grey,4.8 GHz,Intel Core Ultra 7,NVIDIA GeForce RTX 3050 (6 GB),Windows 11 Home,16 GB RAM,2024,2K OLED 400N Display,2048 X 1280,"16""",512 GB NVMe M.2 SSD,,FHD 1080p + IR with Privacy Shutter,1.94 kg ( 4.28 lb ),https://www.jarir.com/sa-en/lenovo-ideapad-pro-5-laptops-631066.html,"Dolby Atmos Sound System, (2 X 2W) Speakers","High Definition Audio, Realtek ALC3287 Codec, Low Blue Light"
Laptop,Honor,MagicBook Pro 14,657780,,3999,,Intel AI Boost,AI Enabled,Starry Grey,P-core: 1.7 - 4.9 GHz/E-core: 1.3 - 4.3 GHz,Intel Core Ultra 5,Intel Arc 130T,Windows 11 Home,32 GB RAM,2025,OLED Display,3120 X 2080,"14.6""",1 TB,Yes,1080P FHD Camera,1.37 kg ( 3.02 lb ),https://www.jarir.com/sa-en/honor-magicbook-pro-laptops-657780.html,Built-in Dual Speakers/Mic,
Laptop,MSI,Prestige,630721,18%,4899,3999,Intel AI Boost,AI Enabled,Stellar Grey,1.4 GHz,Intel Core Ultra 7,Intel Iris Xe Graphics,Windows 11 Home,32 GB RAM,2024,2.8K OLED Display,2880 X 1800 (OLED),"13.3""",1 TB M.2 NVMe PCIe 4.0 SSD,,1080P FHD IR Camera,.99 kg ( 2.18 lb ),https://www.jarir.com/sa-en/msi-prestige13-ai-evo-a1mg-laptops-630721.html,"2 X 2W Speakers, Spatial Array Microphone (3 Mic)",
Laptop,HP,EliteBook 840,637652,14%,6999,5999,Intel AI Boost,AI Enabled,Silver,3.8 GHz,Intel Core Ultra 7,Intel Arc Graphics,Windows 11 Pro,32 GB RAM,2024,WUXGA IPS AG Display,1920 X 1200 (WUXGA),"14""",1 TB NVMe PCIe Gen 4Ã4 SSD,,5 MP Webcam IR Camera,1.41 kg ( 3.11 lb ),https://www.jarir.com/sa-en/hp-elitebook-g40-laptops-637652.html,Built-in Dual Speakers,"Commercial Device, Ultra Processor, Windows Professional"
Laptop,Lenovo,Yoga Slim 6,627986,20%,4399,3499,,,Misty Grey,P-core: 2.4 - 5.0 GHz/E-core: 1.8 - 3.7 GHz,Intel Core i7,Intel Iris Xe Graphics,Windows 11 Home,16 GB RAM,2023,WUXGA-OLED 400N,1920 X 1200 (WUXGA),"14""",512 GB NVMe M.2 SSD,,FHD 1080p with Privacy Shutter,1.35 kg ( 2.98 lb ),https://www.jarir.com/sa-en/lenovo-yoga-slim-6-laptops-627986.html,"Dolby Atmos Sound System, (2 X 2W) Speakers","Backlit Keyboard, Low Blue Light"
Laptop,Honor,MagicBook Pro 14,657773,,4999,,Intel AI Boost up to 13 TOPS,AI Enabled,Starry Grey,P-core: 2.9 - 5.4 GHz/E-core: 2.7 - 4.5 GHz,Intel Core Ultra 9,Intel Arc 140T,Windows 11 Home,32 GB RAM,2025,OLED Display,3120 X 2080,"14.6""",1 TB,Yes,1080P FHD Camera,1.37 kg ( 3.02 lb ),https://www.jarir.com/sa-en/honor-magicbook-pro-laptops-657773.html,Built-in Dual Speakers/Mic,
Laptop,HP,Notebook,627297,28%,2799,1999,,,Natural Silver,P-core: 1.3 - 4.6 GHz/E-core: 0.9 - 3.4 GHz,Intel Core i5,Intel Iris Xe Graphics,Windows 11,8 GB RAM,2023,FHD-IPS Micro Edge Display,1920 X 1080 (FHD),"15.6""",512 GB PCIe NVMe M.2 SSD,,True Vision HD Webcam,1.59 kg ( 3.51 lb ),https://www.jarir.com/sa-en/hp-hp-laptops-627297.html,Built-in Dual Speakers/Mic,
Laptop,HP,Notebook,627298,28%,2799,1999,,,Moonlight Blue,P-core: 1.3 - 4.6 GHz/E-core: 0.9 - 3.4 GHz,Intel Core i5,Intel Iris Xe Graphics,Windows 11,8 GB RAM,2023,FHD-IPS Micro Edge Display,1920 X 1080 (FHD),"15.6""",512 GB PCIe NVMe M.2 SSD,,True Vision HD Webcam,1.59 kg ( 3.51 lb ),https://www.jarir.com/sa-en/hp-hp-laptops-627298.html,Built-in Dual Speakers/Mic,
Laptop,Apple,MacBook Air,646482,12%,6999,6149,16-core Neural Engine,Apple Intelligence,Starlight,,M3,10-core GPU,macOS Sequoia,24 GB RAM,2024,Liquid Retina Display,2880 X 1864,"15.3""",512 GB SSD,,1080p FaceTime HD Camera,1.51 kg ( 3.33 lb ),https://www.jarir.com/sa-en/apple-macbook-air-15-m3-laptops-646482.html,Built-in Mic/Speakers,
Laptop,HP,Pavilion,641160,17%,4499,3699,Intel AI Boost,AI Enabled,Sky Blue,1.7 GHz,Intel Core Ultra 7,Intel Graphics,Windows 11 Home,16 GB RAM,2024,WUXGA IPS Anti-glare 300N Display,1920 X 1200,"16""",1 TB PCIe Gen4,,1080P FHD Camera,1.77 kg ( 3.90 lb ),https://www.jarir.com/sa-en/hp-pavilion-laptops-641160.html,,
Laptop,Lenovo,IdeaPad Slim 5,638079,17%,4499,3699,Intel AI Boost,AI Enabled,Cloud Grey,1.4 GHz,Intel Core Ultra 7,Intel Arc Graphics,Windows 11 Home,16 GB RAM,2024,WUXGA-OLED 400N,1920 X 1200 (WUXGA),"14""",512 GB PCIe Gen 4 NVMe M.2 SSD,,FHD 1080p + IR with Privacy Shutter,1.48 kg ( 3.26 lb ),https://www.jarir.com/sa-en/lenovo-ideapad-slim-5-laptops-638079.html,"Dolby Audio, Stereo Speakers (2 X 2 W)",
Laptop,Acer,Aspire Lite,655453,23%,2999,2299,,,Silver,3.6 - 4.9 GHz,Intel Core i7,Intel UHD Graphics,Windows 11,16 GB RAM,2025,FHD-LED IPS Display,1920 X 1200,"15.6""",1 TB SSD,,FHD Webcam,1.60 kg ( 3.53 lb ),https://www.jarir.com/sa-en/acer-aspire-lite-laptops-655453.html,Built-in Mic/Speakers,
